ReleaseIndex,Version,CommitId,FilePath,RuleSet,Rule,Priority,Line,Description
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/storm/trident/planner/SubtopologyBolt.java,Design,CognitiveComplexity,3,48,"The method 'prepare(Map, TopologyContext, BatchOutputCollector)' has a cognitive complexity of 33, current threshold is 15"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/storm/trident/planner/SubtopologyBolt.java,Design,CyclomaticComplexity,3,48,"The method 'prepare(Map, TopologyContext, BatchOutputCollector)' has a cyclomatic complexity of 12."
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/storm/trident/planner/SubtopologyBolt.java,Design,AvoidDeeplyNestedIfStmts,3,75,Deeply nested if..then statements are hard to read
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/storm/trident/topology/MasterBatchCoordinator.java,Design,GodClass,3,23,"Possible God Class (WMC=49, ATFD=24, TCC=26.374%)"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/storm/trident/topology/MasterBatchCoordinator.java,Design,TooManyMethods,3,23,"This class has too many methods, consider refactoring it."
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/storm/trident/topology/MasterBatchCoordinator.java,Design,CognitiveComplexity,3,147,"The method 'sync()' has a cognitive complexity of 24, current threshold is 15"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/storm/trident/topology/MasterBatchCoordinator.java,Design,CyclomaticComplexity,3,147,The method 'sync()' has a cyclomatic complexity of 10.
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/storm/trident/topology/MasterBatchCoordinator.java,Design,AvoidDeeplyNestedIfStmts,3,162,Deeply nested if..then statements are hard to read
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/storm/trident/topology/TridentBoltExecutor.java,Design,TooManyMethods,3,32,"This class has too many methods, consider refactoring it."
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/storm/trident/topology/TridentBoltExecutor.java,Design,CognitiveComplexity,3,284,"The method 'execute(Tuple)' has a cognitive complexity of 22, current threshold is 15"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/storm/trident/topology/TridentBoltExecutor.java,Design,CyclomaticComplexity,3,284,The method 'execute(Tuple)' has a cyclomatic complexity of 13.
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java,Design,TooManyMethods,3,33,"This class has too many methods, consider refactoring it."
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java,Design,CognitiveComplexity,3,114,"The method 'buildTopology()' has a cognitive complexity of 46, current threshold is 15"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java,Design,CyclomaticComplexity,3,114,The method 'buildTopology()' has a cyclomatic complexity of 21.
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java,Design,NPathComplexity,3,114,"The method 'buildTopology()' has an NPath complexity of 49164, current threshold is 200"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java,Design,NcssCount,3,114,The method 'buildTopology()' has a NCSS line count of 66.
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java,Design,TooManyMethods,3,331,"This class has too many methods, consider refactoring it."
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/storm/trident/topology/state/RotatingTransactionalState.java,Design,AvoidDeeplyNestedIfStmts,3,61,Deeply nested if..then statements are hard to read
2,0.9.1-incubating,ffc7a81bfba60c735dd6801af4f5e8db3812658c,storm-core/src/jvm/backtype/storm/Config.java,Design,TooManyMethods,3,45,"This class has too many methods, consider refactoring it."
2,0.9.1-incubating,ffc7a81bfba60c735dd6801af4f5e8db3812658c,storm-core/src/jvm/backtype/storm/ConfigValidation.java,Design,CognitiveComplexity,3,112,"The method 'validateField(String, Object)' has a cognitive complexity of 18, current threshold is 15"
2,0.9.1-incubating,ffc7a81bfba60c735dd6801af4f5e8db3812658c,storm-core/src/jvm/backtype/storm/ConfigValidation.java,Design,CyclomaticComplexity,3,112,"The method 'validateField(String, Object)' has a cyclomatic complexity of 12."
2,0.9.1-incubating,ffc7a81bfba60c735dd6801af4f5e8db3812658c,storm-core/src/jvm/backtype/storm/ConfigValidation.java,Design,AvoidDeeplyNestedIfStmts,3,121,Deeply nested if..then statements are hard to read
2,0.9.1-incubating,ffc7a81bfba60c735dd6801af4f5e8db3812658c,storm-core/src/jvm/backtype/storm/Constants.java,Design,DataClass,3,24,"The class 'Constants' is suspected to be a Data Class (WOC=0.000%, NOPA=8, NOAM=0, WMC=0)"
2,0.9.1-incubating,ffc7a81bfba60c735dd6801af4f5e8db3812658c,storm-core/src/jvm/backtype/storm/StormSubmitter.java,Design,CyclomaticComplexity,3,73,"The method 'submitTopology(String, Map, StormTopology, SubmitOptions)' has a cyclomatic complexity of 13."
